pos,country_code,region_code,PourcentDeathAttribuableEnv,Per100000AirPol,Per100000Chemi,Per100000Water,Per100000UV,country_name,region_name,WorldBankincome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,"
82,IRQ,EMR,0.21,35.33759,0.49557,3.035,0.29,Iraq,Eastern Mediterranean,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
83,ISL,EUR,0.09,16.85006,0.21087,0.104,1.24,Iceland,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ISR,EUR,0.12,23.24783,0.14239,0.247,2.75,Israel,Europe,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
85,ITA,EUR,0.13,48.66832,0.26749,0.137,3.01,Italy,Europe,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
86,JAM,AMR,0.14,31.76192,0.21191,0.614,0.52,Jamaica,Americas,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
87,JOR,EMR,0.18,26.19685,0.62849,0.626,0.56,Jordan,Eastern Mediterranean,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
88,JPN,WPR,0.11,42.8813,0.41317,0.167,1.11,Japan,Western Pacific,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
89,KAZ,EUR,0.2,56.7782,2.30124,0.383,1.84,Kazakhstan,Europe,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
90,KEN,AFR,0.22,39.88521,1.77029,51.155,0.58,Kenya,Africa,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
91,KGZ,EUR,0.24,74.00945,0.63478,0.776,0.91,Kyrgyzstan,Europe,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
92,KHM,WPR,0.25,87.32692,0.6037,6.47,0.15,Cambodia,Western Pacific,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,KIR,WPR,0.15,88.06989,2.57035,16.658,0.44,Kiribati,Western Pacific,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
94,KNA,AMR,0.08,,,,0.01,Saint Kitts and Nevis,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,KOR,WPR,0.14,34.95016,0.50992,1.806,0.69,South Korea,Western Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,KWT,EMR,0.2,36.7977,0.1808,0.012,0.2,Kuwait,Eastern Mediterranean,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
97,LAO,WPR,0.32,109.93365,0.884,11.313,0.26,Laos,Western Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,LBN,EMR,0.19,52.00714,0.29784,0.787,0.4,Lebanon,Eastern Mediterranean,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,LBR,AFR,0.24,83.31679,1.81176,41.543,1.78,Liberia,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,LBY,EMR,0.19,43.30288,0.61539,0.583,0.63,Libya,Eastern Mediterranean,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,LCA,AMR,0.15,37.54106,0.1845,0.629,0.48,Saint Lucia,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,LKA,SEAR,0.25,89.47481,0.42148,1.19,0.22,Sri Lanka,South-East Asia,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,LSO,AFR,0.16,113.38937,3.11538,44.357,0.74,Lesotho,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,LTU,EUR,0.15,82.12676,0.71364,0.081,2.82,Lithuania,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,LUX,EUR,0.11,22.64015,0.1,0.048,2.72,Luxembourg,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,LVA,EUR,0.15,97.78462,0.84577,0.021,3.6,Latvia,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,MAR,EMR,0.16,40.25763,0.56296,1.903,0.41,Morocco,Eastern Mediterranean,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,MCO,EUR,0.08,,,,2.31,Monaco,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,MDA,EUR,0.21,106.64292,1.16198,0.096,1.69,Moldova,Europe,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,MDG,AFR,0.26,79.94035,3.31769,30.232,0,Madagascar,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,MDV,SEAR,0.13,14.22153,0.04088,0.306,1.25,Maldives,South-East Asia,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,MEX,AMR,0.14,32.99539,0.43102,1.056,0.93,Mexico,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,MHL,WPR,0.15,,,,0.78,Marshall Islands,Western Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,MKD,EUR,0.17,124.88936,0.36519,0.074,3.25,Macedonia,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,MLI,AFR,0.27,106.58382,3.2545,70.721,0.34,Mali,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,MLT,EUR,0.16,43.5251,0.12168,0.033,1.98,Malta,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,MMR,SEAR,0.25,116.14039,1.4139,12.619,0.18,Myanmar,South-East Asia,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,MNE,EUR,0.19,139.84056,0.52518,0.025,,Montenegro,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,
119,MNG,WPR,0.27,97.05481,1.56658,1.289,0.32,Mongolia,Western Pacific,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,MOZ,AFR,0.23,64.21695,2.94252,27.629,0.84,Mozambique,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,MRT,AFR,0.23,87.61095,1.8695,38.569,0.92,Mauritania,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,MUS,AFR,0.11,47.68457,0.10571,0.588,0.27,Mauritius,Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,MWI,AFR,0.22,53.97266,1.99387,28.29,1.04,Malawi,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,MYS,WPR,0.18,35.19356,0.48435,0.42,0.41,Malaysia,Western Pacific,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,NAM,AFR,0.19,74.79065,1.5474,18.317,2.1,Namibia,Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,NER,AFR,0.28,139.59137,4.15257,70.815,0.31,Niger,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,NGA,AFR,0.24,158.62488,2.96244,68.628,0.86,Nigeria,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,NIC,AMR,0.2,42.80965,0.5712,2.244,0.28,Nicaragua,Americas,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,NIU,WPR,0.12,,,,,Niue,Western Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,NLD,EUR,0.12,31.31677,0.0998,0.241,2.99,Netherlands,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,NOR,EUR,0.09,18.67412,0.18356,0.212,4.62,Norway,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,NPL,SEAR,0.25,133.14172,0.44595,19.83,0.2,Nepal,South-East Asia,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,NRU,WPR,0.12,,,,0.59,Nauru,Western Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,NZL,WPR,0.11,13.59947,0.18557,0.146,5.49,New Zealand,Western Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,OMN,EMR,0.17,22.0785,0.42058,0.046,0.51,Oman,Eastern Mediterranean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
